111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
,,,,33.926,129.2,,,,,,
,,,,33.928,162.5,,,,,,
,,,,33.93,137.5,,,,,,
,,,,33.932,116.7,,,,,,
,,,,33.934,200,,,,,,
,,,,33.936,137.5,,,,,,
,,,,33.938,141.7,,,,,,
,,,,33.94,150,,,,,,
,,,,33.942,175,,,,,,
,,,,33.944,145.8,,,,,,
,,,,33.946,125,,,,,,
,,,,33.948,137.5,,,,,,
,,,,33.95,145.8,,,,,,
,,,,33.952,166.7,,,,,,
,,,,33.954,179.2,,,,,,
,,,,33.956,162.5,,,,,,
,,,,33.958,175,,,,,,
,,,,33.96,154.2,,,,,,
,,,,33.962,175,,,,,,
,,,,33.964,137.5,,,,,,
,,,,33.966,162.5,,,,,,
,,,,33.968,145.8,,,,,,
,,,,33.97,179.2,,,,,,
,,,,33.972,120.8,,,,,,
,,,,33.974,150,,,,,,
,,,,33.976,120.8,,,,,,
,,,,33.978,125,,,,,,
,,,,33.98,166.7,,,,,,
,,,,33.982,170.8,,,,,,
,,,,33.984,108.3,,,,,,
,,,,33.986,141.7,,,,,,
,,,,33.988,125,,,,,,
,,,,33.99,170.8,,,,,,
,,,,33.992,154.2,,,,,,
,,,,33.994,166.7,,,,,,
,,,,33.996,150,,,,,,
,,,,33.998,154.2,,,,,,
,,,,34,137.5,,,,,,
