110theta,110intensity,200theta,200intensity,211theta,211intensity,220theta,220intensity,310theta,310intensity,222theta,222intensity
19.632,687.5,28.132,254.166667,34.632,300,40.632,158.333333,45.632,87.5,50.132,116.666667
19.634,1045.833333,28.134,262.5,34.634,291.666667,40.634,191.666667,45.634,108.333333,50.134,100
19.636,650,28.136,270.833333,34.636,358.333333,40.636,166.666667,45.636,100,50.136,95.833333
19.638,700,28.138,300,34.638,320.833333,40.638,175,45.638,104.166667,50.138,154.166667
19.64,741.666667,28.14,308.333333,34.64,312.5,40.64,141.666667,45.64,87.5,50.14,108.333333
19.642,737.5,28.142,258.333333,34.642,358.333333,40.642,195.833333,45.642,79.166667,50.142,125
19.644,866.666667,28.144,254.166667,34.644,354.166667,40.644,116.666667,45.644,154.166667,50.144,108.333333
19.646,766.666667,28.146,270.833333,34.646,379.166667,40.646,158.333333,45.646,100,50.146,95.833333
19.648,779.166667,28.148,308.333333,34.648,412.5,40.648,179.166667,45.648,133.333333,50.148,108.333333
19.65,791.666667,28.15,345.833333,34.65,279.166667,40.65,158.333333,45.65,87.5,50.15,145.833333
19.652,925,28.152,325,34.652,345.833333,40.652,229.166667,45.652,87.5,50.152,116.666667
19.654,708.333333,28.154,291.666667,34.654,333.333333,40.654,183.333333,45.654,95.833333,50.154,166.666667
19.656,733.333333,28.156,358.333333,34.656,320.833333,40.656,175,45.656,100,50.156,116.666667
19.658,850,28.158,341.666667,34.658,320.833333,40.658,183.333333,45.658,95.833333,50.158,133.333333
19.66,870.833333,28.16,304.166667,34.66,320.833333,40.66,145.833333,45.66,137.5,50.16,91.666667
19.662,754.166667,28.162,258.333333,34.662,316.666667,40.662,162.5,45.662,100,50.162,95.833333
19.664,754.166667,28.164,287.5,34.664,387.5,40.664,191.666667,45.664,108.333333,50.164,108.333333
19.666,845.833333,28.166,275,34.666,320.833333,40.666,145.833333,45.666,104.166667,50.166,100
19.668,925,28.168,266.666667,34.668,358.333333,40.668,200,45.668,141.666667,50.168,87.5
19.67,808.333333,28.17,279.166667,34.67,308.333333,40.67,145.833333,45.67,133.333333,50.17,91.666667
19.672,862.5,28.172,283.333333,34.672,358.333333,40.672,183.333333,45.672,87.5,50.172,116.666667
19.674,729.166667,28.174,229.166667,34.674,375,40.674,208.333333,45.674,158.333333,50.174,100
19.676,979.166667,28.176,283.333333,34.676,287.5,40.676,162.5,45.676,95.833333,50.176,104.166667
19.678,812.5,28.178,229.166667,34.678,333.333333,40.678,170.833333,45.678,120.833333,50.178,133.333333
19.68,887.5,28.18,341.666667,34.68,383.333333,40.68,191.666667,45.68,91.666667,50.18,87.5
19.682,737.5,28.182,308.333333,34.682,350,40.682,129.166667,45.682,95.833333,50.182,75
19.684,1041.666667,28.184,220.833333,34.684,345.833333,40.684,241.666667,45.684,125,50.184,95.833333
19.686,837.5,28.186,241.666667,34.686,379.166667,40.686,183.333333,45.686,108.333333,50.186,129.166667
19.688,887.5,28.188,258.333333,34.688,400,40.688,175,45.688,120.833333,50.188,100
19.69,708.333333,28.19,345.833333,34.69,337.5,40.69,179.166667,45.69,116.666667,50.19,125
19.692,991.666667,28.192,245.833333,34.692,287.5,40.692,187.5,45.692,116.666667,50.192,120.833333
19.694,745.833333,28.194,287.5,34.694,370.833333,40.694,145.833333,45.694,133.333333,50.194,112.5
19.696,825,28.196,316.666667,34.696,333.333333,40.696,229.166667,45.696,108.333333,50.196,133.333333
19.698,679.166667,28.198,287.5,34.698,308.333333,40.698,170.833333,45.698,108.333333,50.198,133.333333
19.7,883.333333,28.2,300,34.7,300,40.7,220.833333,45.7,129.166667,50.2,104.166667
19.702,883.333333,28.202,300,34.702,304.166667,40.702,170.833333,45.702,129.166667,50.202,112.5
19.704,783.333333,28.204,229.166667,34.704,375,40.704,195.833333,45.704,104.166667,50.204,129.166667
19.706,845.833333,28.206,300,34.706,370.833333,40.706,200,45.706,120.833333,50.206,100
19.708,987.5,28.208,308.333333,34.708,341.666667,40.708,154.166667,45.708,112.5,50.208,87.5
19.71,1037.5,28.21,329.166667,34.71,383.333333,40.71,179.166667,45.71,75,50.21,108.333333
19.712,875,28.212,291.666667,34.712,400,40.712,145.833333,45.712,125,50.212,150
19.714,937.5,28.214,312.5,34.714,358.333333,40.714,175,45.714,104.166667,50.214,120.833333
19.716,854.166667,28.216,291.666667,34.716,375,40.716,145.833333,45.716,112.5,50.216,158.333333
19.718,1004.166667,28.218,341.666667,34.718,333.333333,40.718,195.833333,45.718,150,50.218,104.166667
19.72,845.833333,28.22,275,34.72,437.5,40.72,233.333333,45.72,91.666667,50.22,129.166667
19.722,812.5,28.222,312.5,34.722,295.833333,40.722,195.833333,45.722,104.166667,50.222,112.5
19.724,925,28.224,291.666667,34.724,295.833333,40.724,208.333333,45.724,104.166667,50.224,129.166667
19.726,1020.833333,28.226,295.833333,34.726,366.666667,40.726,212.5,45.726,104.166667,50.226,137.5
19.728,887.5,28.228,275,34.728,329.166667,40.728,170.833333,45.728,112.5,50.228,104.166667
19.73,887.5,28.23,312.5,34.73,387.5,40.73,170.833333,45.73,79.166667,50.23,112.5
19.732,829.166667,28.232,370.833333,34.732,391.666667,40.732,175,45.732,79.166667,50.232,145.833333
19.734,1029.166667,28.234,333.333333,34.734,362.5,40.734,241.666667,45.734,108.333333,50.234,150
19.736,1008.333333,28.236,262.5,34.736,441.666667,40.736,179.166667,45.736,112.5,50.236,120.833333
19.738,891.666667,28.238,308.333333,34.738,408.333333,40.738,212.5,45.738,100,50.238,133.333333
19.74,862.5,28.24,245.833333,34.74,370.833333,40.74,200,45.74,166.666667,50.24,108.333333
19.742,1087.5,28.242,291.666667,34.742,416.666667,40.742,204.166667,45.742,116.666667,50.242,112.5
19.744,770.833333,28.244,308.333333,34.744,329.166667,40.744,216.666667,45.744,112.5,50.244,104.166667
19.746,1016.666667,28.246,275,34.746,316.666667,40.746,204.166667,45.746,154.166667,50.246,108.333333
19.748,925,28.248,270.833333,34.748,379.166667,40.748,225,45.748,129.166667,50.248,125
19.75,1062.5,28.25,333.333333,34.75,358.333333,40.75,216.666667,45.75,120.833333,50.25,125
19.752,912.5,28.252,329.166667,34.752,345.833333,40.752,229.166667,45.752,129.166667,50.252,133.333333
